1. Main Objective
Open 765 note door,8380,N
All Jinjos,8316,O
Defeat Grunty,8280,N
All 24 honeycombs,8401,HT
All 116 tokens,8350,T
Open all 9 worlds,8511,J
All notes,8305,NR
82 jiggies [r 75-90],8474,JR
Open DoG & defeat Grunty,8288,NJR
Humanitarian,8331,J
Open All 12 Note Doors and Defeat Grunty,8159,NR
All of 1 type of collectible from each world,8205,A

2. Side Quest
18 HCs [r 14-18],4201,HA
All 5 transformations,6165,T
All 10 Brentilda visits,7187,
All 9 orange Jinjos,6447,O
All 9 blue Jinjos,6532,O
All 9 green Jinjos,6527,O
All 9 pink Jinjos,6420,O
All 9 yellow Jinjos,6406,O
Open the 640 note door,4181,N
83 tokens [r 70-90],5957,T
43 jiggies [r 40-60],3804,J
All 3 Cheato Visits,7411,
2 jiggies from each world,3819,J
All lair jiggies,3689,J
Activate all 8 warp cauldrons (not Dingpot),7231,
No RBA,4405,R
No FFM,4405,R
No MMM early,2550,RJ
No FP early,2663,RJ

3. Early Game
Begin run w/ MM 100% Trotless,12474,R
No more than 2 jiggies in MM,6922,JR
Termite's Quest: 5 jiggies and 1 HC as the termite,22411,
9 jiggies in TTC [r 8-10],4520,JA
Both HCs in TTC,7963,HA
All tokens in TTC,7129,TA
All Jinjos in CC,4511,OA
9 jiggies in CC [r 8-10],2519,JA
99 notes in CC [r 80-100],2741,NA
Both HCs in CC,4582,HA
All 4 jiggies inside Clanker,4269,J
All Jinjos in FP,4057,OA
96 notes in FP [r 80-100],2334,NA
Both HCs in FP,4062,HA
All tokens in FP,3483,TA
Merry Christmas! (Visit Boggy's igloo w/ him in it & give presents),3789,J
5 jiggies in FP [r 4-9],2234,JA

4. Mid Game
All Jinjos in MMM,4470,OA
6 jiggies in MMM [r 6-10],2773,JA
97 notes in MMM [r 60-100],2693,NA
Both HCs in MMM,4414,HA
10 tokens in MMM [r 10-16],3814,TA
MMM witch switch jiggy,10564,
Kill all 10 Limbos (skeletons) in MMM,10460,
All Jinjos in GV,4854,OA
95 notes in GV [r 40-100],2982,NA
Both HCs in GV,5000,HA
All tokens in GV,4193,TA
GV rings jiggy without flight or bee,11822,
9 jiggies in GV [r 4-9],3044,JA
Abuse Gobi (beak bust Gobi at all 5 locations),6119,J
All Jinjos in RBB,5603,OA
9 jiggies in RBB [r 4-10],3422,JA
97 notes in RBB [r 40-100],3381,NA
Both HCs in RBB,5477,HA
10 tokens in RBB [r 10-15],4915,TA

5. Late Game
All Jinjos in BGS,6335,OA
85 notes in BGS [r 75-100],4026,NA
Both HCs in BGS,6297,HA
All tokens in BGS,5604,TA
Croctuses jiggy,5300,J
Tiptup's jiggy,5273,J
Both timed jiggies in BGS,5435,J
6 jiggies in BGS [r 5-8],5414,J
All Jinjos in CCW,4459,OA
Both HCs in CCW,4488,HA
All 21 caterpillars,9549,
Eyrie's jiggy,9481,
Nabnut's jiggy,3771,J
Kill all 6 Sir Slushes in winter,9526,
Flower jiggy in CCW,3757,J
71 notes in CCW [r 50-80],2789,NA
4 jiggies in CCW [r 4-8],2428,JA
25 tokens in CCW [r 15-25],4197,TA
Collect 8 jiggies as the bee,1871,JTR

